0 0 B-LOC NN NNP
NNP NN B-PERSON NN VM
NN RB B-PERIOD NN VM
RB QC I-PERIOD VM NN
SYM PRP B-ORG PSP VM
PSP VM B-PERSON NNP NN
VM NNP I-PERSON NN VM
NN SYM B-LOC NN NN
NN VM B-ORG NN RB
NN NN B-PERSON NNP PSP
NN NNP I-PERSON PSP VM
SYM CC B-ORG NNP NN
CC NNP I-ORG NN VM
NNP NNP I-ORG VM NN
SYM NST B-PERSON PSP JJ
PRP RB B-ORG NN VM
VM SYM B-LOC SYM NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP JJ
NNP NNP I-PERSON JJ NN
VM NN B-PERIOD NN VM
NN QC I-PERIOD VM SYM
VM SYM B-PERSON NNP NST
SYM NNP I-PERSON NST NNP
NNP NST B-PERSON NNP QC
NST NNP I-PERSON QC RB
NNP NNP B-PERIOD RB VM
SYM QF B-PERIOD NN RB
VM SYM B-NUM RB NN
VM SYM B-PERSON DEM NN
NN NN B-ORG NN VM
NN NNP I-ORG VM SYM
SYM NN B-ORG NNP NN
NN NNP I-ORG NN NN
NNP NNP I-ORG NN PSP
VM NN B-PERSON NNP VM
NN NNP I-PERSON VM NN
VM SYM B-PERSON NN NN
QO NN B-NUM SYM QO
QO SYM B-NUM NN NN
VM SYM B-ORG NN RB
SYM NNP I-ORG RB NN
NN NN B-PERSON NNP JJ
NN NNP I-PERSON JJ NN
DEM NN B-ORG NN NN
VM SYM B-ORG NN NN
SYM NN I-ORG NN NN
VM NN B-MONEY QC RP
NN NN I-MONEY RP JJ
VM NN B-PERSON NN NN
NN VM B-ORG NN NN
NN VM B-PERSON NNP NN
VM NNP I-PERSON NN RB
VM RP B-PERSON NST QC
NNP NST B-PERIOD NN NN
NST QC I-PERIOD NN NN
VM NN B-PERSON VM NN
RB VM B-PERSON NNP NN
VM NNP I-PERSON NN QC
NNP NNP B-MONEY QC NN
NNP NN I-MONEY NN JJ
VM NN B-ORG NN NN
VM NN B-PERSON VM SYM
VM NN B-LOC NNP PSP
NN NNP I-LOC PSP NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NN
NNP NNP I-PERSON NN NN
NN RB B-PERSON NNP NN
RB NNP I-PERSON NN NNP
NNP NN B-ORG NN VM
PSP NN B-MONEY QC NN
NN NN I-MONEY NN NN
VM NN B-PERSON NNP VM
NN NNP I-PERSON VM VM
NN VM B-PERSON NN VM
VM SYM B-PERSON NNP VM
SYM NNP I-PERSON VM NN
NNP VM B-MONEY QC NN
VM NN I-MONEY NN NN
NN NN B-ORG PRP NN
VM SYM B-PERSON NNP VM
SYM NNP I-PERSON VM NN
NNP VM B-MONEY QC NN
VM NN I-MONEY NN NN
SYM NN B-MONEY QC NN
NN NN I-MONEY NN JJ
NN VM B-PERSON UT NN
NN VM B-ORG NN NN
NN PRP B-PERSON PSP VM
SYM NN B-PERSON QC NN
NN NNP B-PERIOD NN NN
NNP QC I-PERIOD NN PSP
NN NST B-PERSON NN PRP
PRP VM B-PERSON NNP NNP
VM NNP I-PERSON NNP QC
NNP NNP I-PERSON QC NN
NNP NNP B-PERIOD NN NST
NNP QC I-PERIOD NST PSP
NN SYM B-LOC NNP NN
